pig_stage,pig_stage_label,n_samples,r_human_infant,p_human_infant,r_human_adult,p_human_adult,dist_human_infant,dist_human_adult,best_match,match_confidence
Infant_0_20d,"Infant
(0-20d)",223,-0.1794184412690985,0.7002885580378976,-0.1571508368070733,0.7364945576020179,4.063478580940662,4.024936237419963,adult,0.022267604462025192
Early childhood_21_59d,"Early
(21-59d)",80,0.6408725463525601,0.12091151240222635,0.6767088917400014,0.0950077692959042,2.2422721402768118,2.1274575238152105,adult,0.03583634538744129
Pre_pubertal_60_149d,"Pre-pub
(60-149d)",97,0.2267450983735072,0.624884160536444,0.2640239257283543,0.5672367604000299,3.290223187378928,3.2099322484748867,adult,0.03727882735484711
Post_pubertal_150_365d,"Post-pub
(150-365d)",396,0.9672843760891061,0.00036533183622613813,0.9891229942808368,2.3560901551963893e-05,0.6767708140517816,0.3902282409926631,adult,0.02183861819173072
Adult_>365d,"Adult
(>365d)",525,0.49499008470670336,0.25872183123449183,0.5280768755734966,0.22309063515959282,2.6589732631419216,2.570393693963848,adult,0.033086790866793225
