UMAP1,UMAP2,Tissue
7.495925183829115,-6.533407662159308,Muscle
6.9510773885541735,-6.125924066767923,Muscle
7.265518389626569,-6.858128795091713,Muscle
6.951442771937742,-5.305349021722396,Muscle
7.992105370438146,-7.280340151848135,Muscle
6.830050099922898,-6.535488136846916,Muscle
7.067750682584972,-6.119566577543651,Muscle
6.667935206391629,-6.395738923889505,Muscle
6.62005297778461,-6.976229046260921,Muscle
7.001250528741082,-7.261383269643155,Muscle
7.972867246589832,-7.303785228002989,Muscle
6.929968309534672,-6.545315550693824,Muscle
6.93482257321946,-6.44692785509673,Muscle
7.494207405307359,-7.089563785089653,Muscle
7.868546865426465,-7.557935004803314,Muscle
7.5128886641998704,-6.488130173350458,Muscle
7.383408879175931,-6.84094888877258,Muscle
7.597845858252546,-6.817296784779579,Muscle
7.1147194977356225,-6.754114083150385,Muscle
7.077412592157936,-7.047729187700909,Muscle
6.61142180636706,-6.686569654837988,Muscle
7.223913761072515,-6.956491928547016,Muscle
6.925420501821456,-7.363421923837132,Muscle
6.998249091832699,-7.383375765984245,Muscle
7.1158422829420545,-6.1845567381510556,Muscle
6.622576101697518,-6.147893790786248,Muscle
6.843241126405255,-6.823498833966725,Muscle
7.820987190819379,-7.019326293571517,Muscle
8.011402391898972,-7.455034051787442,Muscle
7.323827693617535,-6.866637888181148,Muscle
6.739766738272431,-7.0850314010697595,Muscle
7.490195935584156,-7.228388813148809,Muscle
7.02941076616348,-5.334498118072209,Muscle
7.535601251967369,-7.247152033215523,Muscle
7.285740613355415,-6.573502770530843,Muscle
8.048956397347322,-7.5176198961881875,Muscle
7.349312386899086,-6.409374012741966,Muscle
6.7438431293081695,-7.16562004106113,Muscle
6.694630241988877,-6.491163475398859,Muscle
6.900220027765997,-6.822316388290896,Muscle
6.541492409149438,-6.39171238512772,Muscle
7.434104051477984,-6.9196688055201845,Muscle
7.954927513970169,-7.449388000495282,Muscle
6.737644719027399,-6.606173927145144,Muscle
7.680210890439815,-7.37052114544043,Muscle
7.101329082547576,-5.247939778616881,Muscle
6.831014946429516,-6.689630979309984,Muscle
7.041644486658573,-5.327783059447661,Muscle
7.168709998883337,-7.246970363253884,Muscle
7.0565487772360225,-6.105587180837804,Muscle
7.286864456571934,-6.223988621650182,Muscle
6.881968744376792,-6.966399618600999,Muscle
7.604115419859218,-6.679090274430251,Muscle
7.191462596261491,-6.981385961840985,Muscle
6.84959994619123,-7.215615482084037,Muscle
6.622084065002992,-7.0250784909190696,Muscle
7.390800542290542,-6.5497892525794725,Muscle
7.59793214320824,-6.6954727811945425,Muscle
6.500203665647998,-6.542540099441708,Muscle
8.097796003039644,-7.488379797400781,Muscle
7.198504719988094,-6.176007361863806,Muscle
7.325853913029867,-6.543817265032312,Muscle
7.312490400857861,-7.53172263078298,Muscle
6.778830624370764,-6.332460303433604,Muscle
6.644012347862818,-6.783502417692132,Muscle
7.7560372474186785,-7.713320546057772,Muscle
7.044863555062582,-7.178578001232734,Muscle
7.6011133512430575,-7.135876920071893,Muscle
-0.8129091415868681,7.230473130458049,Muscle
6.787280518205483,-6.868164421546968,Muscle
7.060172577375827,-7.306230425997143,Muscle
6.494841204222423,-6.810770694468897,Muscle
7.131289640657329,-7.004645606943327,Muscle
7.122295035228195,-7.523043111229915,Muscle
6.648647441524673,-6.313241596982715,Muscle
8.03047238546995,-7.487817842006374,Muscle
7.016766992708854,-6.896604518244231,Muscle
6.658210448284406,-6.882119166416823,Muscle
6.9076204944304305,-6.672466496252785,Muscle
7.024843102700514,-5.4532937462317745,Muscle
6.976587404895961,-6.4865077281143435,Muscle
6.467256685514702,-6.236503494717522,Muscle
7.358695890429871,-6.674568481198966,Muscle
6.6160082339312645,-6.513449094754718,Muscle
6.9656330939885915,-7.498069160641966,Muscle
6.71179245506913,-6.858445034214368,Muscle
7.054690173312045,-6.594221753316997,Muscle
-0.7386220453826775,7.286256276376468,Muscle
6.976010145643425,-5.392726668284143,Muscle
6.862852093277462,-6.516516233140402,Muscle
6.612900140025847,-7.119570138304744,Muscle
6.605542286795849,-6.3639666458976905,Muscle
6.373503412406052,-6.7417918915515855,Muscle
6.931937566802235,-7.101741314056831,Muscle
6.503850031573679,-6.975506325918899,Muscle
6.660225873725372,-6.540241332808626,Muscle
8.117824124678087,-7.507950915434637,Muscle
7.446537717175369,-7.158737524539495,Muscle
7.678132883196344,-7.7961028545500675,Muscle
6.47266488455899,-6.320893548000956,Muscle
7.028813327896984,-5.368679524880026,Muscle
7.147700676743046,-6.030665075059142,Muscle
7.113470691469304,-7.389552016998036,Muscle
6.605894325198744,-7.084550771159837,Muscle
7.322514047869577,-6.769106228654633,Muscle
6.829232738099222,-7.132392298421131,Muscle
7.077944401348397,-6.882440074551427,Muscle
7.601003123417927,-7.628729968783647,Muscle
7.1251487941806495,-6.239152972297229,Muscle
6.97412265662002,-6.818995272752973,Muscle
6.802397410772253,-6.495356439827505,Muscle
6.977901552209678,-5.552612897371131,Muscle
6.5833646293907275,-6.919080061754929,Muscle
6.9079596776704015,-5.719021456965706,Muscle
7.382552076683099,-7.5429884850132725,Muscle
6.446223593205005,-7.1368016013005,Muscle
7.012734249992912,-5.345830898762243,Muscle
8.08232966228305,-7.4510856271411035,Muscle
6.450966942097352,-6.750873503788413,Muscle
6.6642661916948445,-6.589171367610879,Muscle
7.126403077476644,-7.583110528553415,Muscle
6.424556683928829,-6.779859058815511,Muscle
6.6748771558017665,-6.603333684405839,Muscle
6.521611797792827,-6.772057529119374,Muscle
6.769215661980432,-6.735503409842258,Muscle
6.7874338550891355,-7.184116461808076,Muscle
7.068289175622578,-5.5261984162574604,Muscle
7.770695875699916,-7.65298895413527,Muscle
7.232966024169901,-6.743040911725132,Muscle
7.397531900786527,-7.435225533992793,Muscle
7.5008913701292315,-7.5755083930378095,Muscle
6.817990384750059,-7.072890361851733,Muscle
6.960918478780421,-5.798901312291937,Muscle
6.886277339929144,-6.362852358701873,Muscle
6.931816430713312,-7.235036364717888,Muscle
7.2715836332102,-6.504491595475044,Muscle
6.99872232894562,-5.554049010974929,Muscle
7.224405314164569,-6.900329542222564,Muscle
7.07194299835254,-5.423736261123073,Muscle
6.48686066282742,-6.259984718441101,Muscle
6.84119062464236,-7.059609827476938,Muscle
7.134504409176829,-7.6227357060179495,Muscle
6.60923233748993,-6.92886168781589,Muscle
6.887910866754034,-5.615668450222169,Muscle
6.425227867912184,-6.987561073216213,Muscle
6.660379965924218,-6.443713516551123,Muscle
6.312520744918224,-6.550272988688758,Muscle
6.6690618598128815,-7.391093034260706,Muscle
7.189466748421422,-6.412275725732196,Muscle
7.8475728830567935,-7.652614950555729,Muscle
-0.3660616040950839,6.4815942124204184,Brain
0.23110813040757128,5.618975900179237,Brain
0.867151861826013,5.5043112979184805,Brain
