Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
IFNL1,0,0,0,0,0,0,0,0,0,0,0
IFNL2,0,0,0,0,0,0,0,0,0,0,0
IFNL3,0,0,0,0,0,0,0,0,0,0,0
IFNL4,0,0,0,0,0,0,0,0,0,0,0
IFNLR1,125,20,72,109,7,52,224,31,104,19,50
IFNW1,0,0,0,0,0,0,0,0,0,0,0
IFRD1,384,1089,288,838,1566,128,538,1372,434,682,880
IFRD2,1493,1032,1086,1767,1893,785,2088,870,1576,951,1313
IFT122,65,116,55,101,65,54,90,229,124,162,68
IFT140,35,94,65,78,61,42,71,149,54,106,62
IFT172,144,142,132,128,83,91,162,227,175,168,173
IFT20,29,42,42,64,36,24,62,87,49,81,41
IFT22,244,262,310,277,233,159,262,246,244,250,196
IFT27,167,167,169,199,122,92,188,188,205,161,147
IFT43,58,56,75,118,67,52,84,96,89,113,84
IFT46,231,229,173,179,156,127,230,286,223,138,211
IFT52,46,97,68,62,65,43,93,159,52,158,45
IFT57,100,121,102,132,99,79,94,126,124,136,73
IFT74,156,81,96,131,69,65,120,98,139,106,65
IFT74-AS1,0,0,0,0,1,0,0,0,0,0,0
IFT80,88,129,95,128,77,65,155,116,111,102,111
IFT81,75,102,90,172,109,59,142,125,130,100,108
IFT88,52,82,67,80,48,26,53,70,68,57,65
IGBP1,1322,1278,1441,1472,971,818,1554,1848,1357,1400,1047
IGBP1P1,1,1,0,0,0,0,0,0,0,0,0
IGDCC3,1,5,3,3,1,0,0,0,0,1,1
IGDCC4,449,351,454,1121,553,346,634,591,493,570,607
IGF1,130,923,184,229,480,120,289,1279,111,1137,91
IGF1R,296,240,231,411,248,144,232,480,233,232,269
IGF2,1047,17607,2376,2620,11585,2652,2788,32277,2282,11783,1662
IGF2-AS,0,30,1,6,13,1,7,42,12,24,0
IGF2BP1,0,0,0,1,0,0,0,3,0,3,0
IGF2BP2,76,253,57,87,325,45,45,521,20,146,24
IGF2BP2-AS1,0,0,0,0,0,0,0,0,0,0,0
IGF2BP3,0,31,0,0,35,0,0,80,3,17,0
IGF2R,2375,2265,2826,5349,2854,1258,3152,2380,2255,2372,2458
IGFALS,0,3,3,4,1,0,0,0,1,1,0
IGFBP1,0,5,0,0,1,0,0,8,0,0,0
IGFBP2,156,142,298,272,397,271,178,216,199,509,145
IGFBP3,270,4271,526,705,2208,271,230,7974,290,3418,504
IGFBP4,1043,2107,1133,1855,1549,929,1343,3889,1221,3000,1097
IGFBP5,19678,26097,14585,26028,7199,11933,25683,44409,10768,24970,25181
IGFBP6,295,867,377,667,392,318,996,1151,453,900,628
IGFBP7,1831,2009,2697,2038,1763,2182,3111,3745,2320,6143,2472
IGFBP7-AS1,3,1,0,0,2,0,1,4,1,3,2
IGFBPL1,0,13,1,0,4,1,6,9,1,10,1
IGFL1,0,0,0,0,0,0,0,0,0,0,0
IGFL2,0,0,0,0,0,0,4,0,0,0,0
IGFL3,0,0,0,0,0,0,0,0,0,0,0
IGFL4,0,0,0,0,0,0,0,0,0,0,0
IGFLR1,23,42,36,27,22,12,14,28,19,39,19
IGFN1,669,37,149,3852,5090,1207,4521,28,68,102,96
IGHMBP2,222,280,221,266,218,119,272,344,199,216,240
IGIP,92,93,79,146,57,54,195,140,126,80,121
IGLL1,0,0,0,0,0,0,0,0,0,0,0
IGLL3P,0,0,0,0,0,0,0,0,0,0,0
IGLL5,0,0,9,20,0,21,2,5,51,16,0
IGLON5,0,0,0,0,0,0,0,1,0,0,2
IGSF1,10,34,27,7,25,4,36,30,4,34,9
IGSF10,16,187,31,22,16,21,37,409,48,180,24
IGSF11,40,13,56,69,76,11,25,56,46,21,54
IGSF11-AS1,0,0,0,0,0,0,0,0,0,0,0
IGSF21,16,6,11,5,0,6,23,1,13,15,5
IGSF22,3,1,0,7,0,1,1,6,0,181,1
IGSF23,0,0,0,0,0,0,0,0,0,0,0
IGSF3,62,220,27,37,47,39,169,260,47,275,45
IGSF5,0,0,0,0,0,0,0,0,0,0,0
IGSF6,0,4,1,1,0,0,1,6,2,7,0
IGSF8,190,287,218,217,255,83,224,504,192,313,261
IGSF9,0,0,0,1,0,0,0,0,0,2,2
IGSF9B,23,20,15,13,5,9,66,20,12,26,28
IHH,0,0,0,0,0,0,0,0,1,0,0
IK,1251,1517,1170,1435,968,469,1558,1826,1342,1479,1062
IKBIP,8,65,27,43,43,35,61,62,21,78,12
IKBKAP,286,364,346,500,387,152,548,505,368,422,462
IKBKB,704,521,572,402,697,227,862,711,701,452,642
IKBKE,0,11,4,3,3,1,3,3,1,3,12
IKBKG,231,251,194,228,204,105,254,341,123,289,262
IKZF1,7,22,7,10,6,6,19,28,12,40,17
IKZF2,42,133,89,104,261,48,174,225,89,49,65
IKZF3,1,14,17,9,3,4,12,8,1,26,6
IKZF4,305,219,239,349,194,134,448,279,208,156,276
IKZF5,187,165,145,267,233,80,295,198,225,148,156
IL10,0,0,0,1,0,0,0,1,3,1,0
IL10RA,23,102,19,40,9,19,49,37,38,166,51
IL10RB,100,157,147,191,160,91,188,239,155,186,140
