Unnamed: 0,BioSample,BioProject,LibraryLayout,Platform,Model,Subspecies,Breed,Predicted breed label,Breed group,Sex,Age,Clean reads,Mapped reads,Mapping rate,Expressed gene count,Expressed gene ratio,Tissue class,Main categories,Sub categories,Note,Used in molQTL analysis,BioSample.WGS
1,SAMD00016663,PRJDB2835,SINGLE,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,"79,209,508","45,649,283",0.5763,17590,0.5513,Unknown,Unknown,Unknown,,No,
2,SAMD00016665,PRJDB2835,SINGLE,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"200,157,259","174,888,319",0.8738,14573,0.4567,Heart,Heart,Heart,,Yes,
3,SAMD00046881,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"40,366,030","38,624,608",0.9569,16859,0.5284,Oocyte,Oocyte,Oocyte,,Yes,
4,SAMD00046882,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"39,788,068","38,077,270",0.957,17004,0.5329,Oocyte,Oocyte,Oocyte,,Yes,
5,SAMD00046883,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"29,915,504","28,442,336",0.9508,17826,0.5587,Oocyte,Oocyte,Oocyte,,Yes,
6,SAMD00046884,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"35,271,364","33,650,560",0.954,17173,0.5382,Oocyte,Oocyte,Oocyte,,Yes,
7,SAMD00046885,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"34,134,200","31,347,843",0.9184,16792,0.5263,Ovarian granulosa cells,Ovary,Ovary,,Yes,
8,SAMD00046886,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"36,121,106","32,382,599",0.8965,15841,0.4965,Ovarian granulosa cells,Ovary,Ovary,,Yes,
9,SAMD00046887,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"36,881,009","32,557,393",0.8828,15512,0.4861,Ovarian granulosa cells,Ovary,Ovary,,Yes,
10,SAMD00046888,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"38,345,747","35,092,440",0.9152,15529,0.4867,Ovarian granulosa cells,Ovary,Ovary,,Yes,
11,SAMD00057781,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,"22,255,364","20,619,125",0.9265,14823,0.4646,Unknown,Other,Other,Outlier,No,
12,SAMD00057782,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"23,161,949","13,034,346",0.5627,15371,0.4817,Unknown,Unknown,Unknown,,No,
13,SAMD00057783,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"22,160,638","12,515,189",0.5647,15250,0.4779,Unknown,Unknown,Unknown,,No,
14,SAMD00153268,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,Unknown,"21,591,217","20,047,957",0.9285,14817,0.4644,Muscle,Muscle,Muscle,,Yes,
15,SAMD00153269,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Large white,Unknown,Unknown,Female,Unknown,"21,113,567","11,908,455",0.564,15302,0.4796,Unknown,Unknown,Unknown,,No,
16,SAMD00153270,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Large white,Unknown,Unknown,Female,Unknown,"20,520,602","11,604,849",0.5655,15165,0.4753,Unknown,Unknown,Unknown,,No,
17,SAMD00156641,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"23,169,059","15,137,251",0.6533,14535,0.4555,pFF-Exosome,Other,Other,Outlier,No,
18,SAMD00156642,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"26,960,298","13,397,414",0.4969,14990,0.4698,Unknown,Unknown,Unknown,,No,
19,SAMD00156643,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"21,815,676","11,663,436",0.5346,15115,0.4737,Unknown,Unknown,Unknown,,No,
20,SAMD00156644,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Female,Unknown,"22,840,474","21,707,689",0.9504,18354,0.5752,Ovarian granulosa cells,Ovary,Ovary,,Yes,
21,SAMD00156645,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Female,Unknown,"24,195,518","22,986,210",0.95,17662,0.5535,Ovarian granulosa cells,Ovary,Ovary,,Yes,
22,SAMD00156646,PRJDB7878,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Female,Unknown,"25,014,153","23,669,709",0.9463,17420,0.5459,Ovarian granulosa cells,Ovary,Ovary,,Yes,
23,SAMEA3492689,PRJEB10004,PAIRED,ILLUMINA,Illumina Genome Analyzer II,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
24,SAMEA3492690,PRJEB10004,PAIRED,ILLUMINA,Illumina Genome Analyzer II,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,0,0,0.0,0,0.0,Unknown,Unknown,Unknown,,No,
25,SAMEA3492691,PRJEB10004,PAIRED,ILLUMINA,Illumina Genome Analyzer II,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"20,376,524","19,062,991",0.9355,13502,0.4232,Macrophage,Blood,Macrophage,,Yes,
26,SAMEA3492692,PRJEB10004,PAIRED,ILLUMINA,Illumina Genome Analyzer II,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"25,732,198","22,999,092",0.8938,13054,0.4091,Macrophage,Blood,Macrophage,,No,
27,SAMEA3497680,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"39,959,151","38,033,836",0.9518,16534,0.5182,Artery,Artery,Artery,,Yes,
28,SAMEA3497681,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"45,154,866","43,227,546",0.9573,16531,0.5181,Artery,Artery,Artery,,Yes,
29,SAMEA3497682,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"39,410,672","37,583,568",0.9536,16396,0.5139,Artery,Artery,Artery,,Yes,
30,SAMEA3497683,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"34,347,921","32,712,289",0.9524,16513,0.5175,Artery,Artery,Artery,,Yes,
31,SAMEA3497684,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"37,464,935","35,583,606",0.9498,16870,0.5287,Artery,Artery,Artery,,Yes,
32,SAMEA3497685,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"38,573,009","36,409,956",0.9439,16449,0.5155,Artery,Artery,Artery,,Yes,
33,SAMEA3497686,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"50,072,713","47,974,942",0.9581,16909,0.5299,Artery,Artery,Artery,,Yes,
34,SAMEA3497687,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"41,456,472","39,594,115",0.9551,15907,0.4985,Artery,Artery,Artery,,Yes,
35,SAMEA3497688,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"35,298,327","33,745,443",0.956,16375,0.5132,Artery,Artery,Artery,,Yes,
36,SAMEA3497689,PRJEB10114,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Landrace x Yorkshire,Landrace x Yorkshire,Cross,Male,6 months,"48,675,045","46,716,496",0.9598,17176,0.5383,Artery,Artery,Artery,,Yes,
37,SAMEA3643806,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Female,Unknown,"31,215,902","29,932,757",0.9589,19737,0.6186,Hippocampus,Brain,Brain,,Yes,
38,SAMEA3643807,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"30,345,818","29,128,240",0.9599,19214,0.6022,Hippocampus,Brain,Brain,,Yes,
39,SAMEA3643808,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"34,422,710","32,847,214",0.9542,19465,0.61,Hippocampus,Brain,Brain,,Yes,
40,SAMEA3643809,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"37,765,521","36,201,656",0.9586,19862,0.6225,Hippocampus,Brain,Brain,,Yes,
41,SAMEA3643810,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"26,026,006","23,726,439",0.9116,18839,0.5904,Hippocampus,Brain,Brain,,Yes,
42,SAMEA3643811,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"26,029,225","24,870,563",0.9555,19526,0.6119,Hippocampus,Brain,Brain,,Yes,
43,SAMEA3643812,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"31,938,453","30,216,057",0.9461,20159,0.6318,Hippocampus,Brain,Brain,,Yes,
44,SAMEA3643813,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,(Landrace x Large White) x (Duroc x Pietrain),(Landrace x Yorkshire) x (Duroc x Pietrain),Cross,Female,Unknown,"31,912,069","30,264,058",0.9484,19775,0.6198,Hippocampus,Brain,Brain,,Yes,
45,SAMEA3643814,PRJEB11625,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Duroc,Landrace x Yorkshire,Cross,Female,4 weeks,"29,838,721","28,107,780",0.942,19564,0.6131,Hippocampus,Brain,Brain,,Yes,
46,SAMEA4434473,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"26,668,907","25,140,131",0.9427,18173,0.5695,Hippocampus,Brain,Brain,,Yes,
47,SAMEA4434474,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"25,911,491","24,531,666",0.9467,18442,0.578,Hippocampus,Brain,Brain,,Yes,
48,SAMEA4434475,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"32,451,287","30,671,481",0.9452,19677,0.6167,Hippocampus,Brain,Brain,,Yes,
49,SAMEA4434476,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"29,710,476","28,280,263",0.9519,19253,0.6034,Hippocampus,Brain,Brain,,Yes,
50,SAMEA4434477,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"29,940,582","27,990,956",0.9349,19190,0.6014,Hippocampus,Brain,Brain,,Yes,
51,SAMEA4434478,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"33,768,633","31,954,653",0.9463,19759,0.6192,Hippocampus,Brain,Brain,,Yes,
52,SAMEA4434479,PRJEB12278,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Yorkshire,European pigs,Female,Unknown,"37,375,969","35,625,705",0.9532,19952,0.6253,Hippocampus,Brain,Brain,,Yes,
53,SAMEA3720870,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"6,717,674","6,407,117",0.9538,13478,0.4224,Blood,Blood,Blood,,Yes,
54,SAMEA3720871,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"21,771,302","20,526,091",0.9428,15124,0.474,Blood,Blood,Blood,,Yes,
55,SAMEA3720872,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"16,624,427","15,827,598",0.9521,14710,0.461,Blood,Blood,Blood,,Yes,
56,SAMEA3720873,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"16,642,732","15,776,778",0.948,14662,0.4595,Blood,Blood,Blood,,Yes,
57,SAMEA3720874,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"15,089,531","14,117,203",0.9356,14691,0.4604,Blood,Blood,Blood,,Yes,
58,SAMEA3720875,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"6,383,118","5,989,446",0.9383,13129,0.4115,Blood,Blood,Blood,,Yes,
59,SAMEA3720876,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"23,328,448","21,991,218",0.9427,14319,0.4488,Blood,Blood,Blood,,Yes,
60,SAMEA3720877,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"9,652,633","9,033,209",0.9358,13666,0.4283,Blood,Blood,Blood,,Yes,
61,SAMEA3720878,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"7,497,298","7,082,641",0.9447,14433,0.4523,Blood,Blood,Blood,,Yes,
62,SAMEA3720879,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"18,136,218","17,135,008",0.9448,15067,0.4722,Blood,Blood,Blood,,Yes,
63,SAMEA3720880,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"17,530,138","16,773,572",0.9568,14671,0.4598,Blood,Blood,Blood,,Yes,
64,SAMEA3720881,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"17,437,698","15,816,475",0.907,14315,0.4486,Blood,Blood,Blood,,Yes,
65,SAMEA3720882,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"16,514,964","15,025,275",0.9098,14485,0.454,Blood,Blood,Blood,,Yes,
66,SAMEA3720883,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"13,797,302","12,912,803",0.9359,14445,0.4527,Blood,Blood,Blood,,Yes,
67,SAMEA3720884,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"12,509,002","11,574,397",0.9253,14230,0.446,Blood,Blood,Blood,,Yes,
68,SAMEA3720885,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"24,674,443","23,023,982",0.9331,15507,0.486,Blood,Blood,Blood,,Yes,
69,SAMEA3720886,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"44,323,576","42,253,225",0.9533,16890,0.5293,Blood,Blood,Blood,,Yes,
70,SAMEA3720887,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"18,262,813","17,129,063",0.9379,14786,0.4634,Blood,Blood,Blood,,Yes,
71,SAMEA3720888,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"12,719,523","11,777,075",0.9259,14215,0.4455,Blood,Blood,Blood,,Yes,
72,SAMEA3720889,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"15,429,439","13,875,730",0.8993,14048,0.4403,Blood,Blood,Blood,,Yes,
73,SAMEA3720890,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"10,115,528","9,317,997",0.9212,13607,0.4264,Blood,Blood,Blood,,Yes,
74,SAMEA3720891,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"15,925,255","14,614,684",0.9177,14578,0.4569,Blood,Blood,Blood,,Yes,
75,SAMEA3720892,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"14,963,001","13,531,980",0.9044,14067,0.4409,Blood,Blood,Blood,,Yes,
76,SAMEA3720893,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"13,880,005","12,568,665",0.9055,13954,0.4373,Blood,Blood,Blood,,Yes,
77,SAMEA3720894,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"16,819,042","15,574,643",0.926,14504,0.4546,Blood,Blood,Blood,,Yes,
78,SAMEA3720895,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"18,706,885","17,567,241",0.9391,14927,0.4678,Blood,Blood,Blood,,Yes,
79,SAMEA3720896,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"29,329,627","27,307,404",0.9311,15538,0.487,Blood,Blood,Blood,,Yes,
80,SAMEA3720897,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"14,463,763","12,943,222",0.8949,14119,0.4425,Blood,Blood,Blood,,Yes,
81,SAMEA3720898,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"14,887,364","13,437,213",0.9026,14092,0.4416,Blood,Blood,Blood,,Yes,
82,SAMEA3720899,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"24,016,830","22,847,827",0.9513,15694,0.4919,Blood,Blood,Blood,,Yes,
83,SAMEA3720900,PRJEB12300,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Yorkshire,European pigs,Female,6 months,"12,986,959","11,720,931",0.9025,13920,0.4363,Blood,Blood,Blood,,Yes,
84,SAMEA3727375,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,91 days,"22,868,879","21,692,473",0.9486,16464,0.516,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
85,SAMEA3727376,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,91 days,"23,029,160","22,017,520",0.9561,15403,0.4827,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
86,SAMEA3727377,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,86 days,"18,287,101","17,620,385",0.9635,14809,0.4641,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
87,SAMEA3727378,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,91 days,"18,686,194","17,845,192",0.955,15420,0.4833,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
88,SAMEA3727379,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,83 days,"19,826,918","18,880,403",0.9523,14800,0.4638,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
89,SAMEA3727380,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,89 days,"21,255,984","20,280,929",0.9541,14717,0.4612,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
90,SAMEA3727381,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,109 days,"26,378,182","25,650,866",0.9724,15058,0.4719,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
91,SAMEA3727382,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,110 days,"29,971,524","27,884,938",0.9304,16422,0.5147,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
92,SAMEA3727383,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,102 days,"20,682,885","19,901,001",0.9622,16116,0.5051,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
93,SAMEA3727384,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,103 days,"18,823,526","18,083,323",0.9607,15559,0.4876,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
94,SAMEA3727385,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,100 days,"24,749,000","23,932,836",0.967,16031,0.5024,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
95,SAMEA3727386,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,103 days,"21,977,515","20,758,117",0.9445,15355,0.4812,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
96,SAMEA3727387,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,100 days,"15,348,649","14,732,429",0.9599,15007,0.4703,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
97,SAMEA3727388,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,100 days,"19,589,522","18,713,299",0.9553,15279,0.4788,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
98,SAMEA3727389,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Yorkshire,European pigs,Female,100 days,"23,486,344","22,518,502",0.9588,15341,0.4808,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
99,SAMEA3727390,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,104 days,"17,210,286","16,479,830",0.9576,15667,0.491,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
100,SAMEA3727391,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,104 days,"21,429,255","20,599,271",0.9613,15564,0.4878,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
101,SAMEA3727392,PRJEB12435,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Yorkshire,Landrace x Yorkshire,Cross,Female,104 days,"20,798,019","20,110,484",0.9669,15735,0.4931,Synovial membrane,Synovial membrane,Synovial membrane,,Yes,
102,SAMEA3903326,PRJEB13074,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Chinese Wuzhishan,Asian pigs,Male,Unknown,"45,875,177","29,301,208",0.6387,18109,0.5675,Liver,Liver,Liver,,No,
103,SAMEA3903386,PRJEB13074,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Chinese Wuzhishan,Asian pigs,Male,Unknown,"43,525,084","33,250,640",0.7639,19735,0.6185,Liver,Liver,Liver,,No,
104,SAMEA3903387,PRJEB13074,PAIRED,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Bama Xiang,Asian pigs,Male,Unknown,"29,301,746","20,879,913",0.7126,17897,0.5609,Liver,Liver,Liver,,No,
105,SAMEA4454572,PRJEB14330,PAIRED,ILLUMINA,Illumina HiSeq 3000,Sus scrofa,Unknown,Unknown,Unknown,Unknown,6 months,"35,995,035","34,208,202",0.9504,19393,0.6078,Cerebral cortex,Brain,Brain,Embargoed,No,
