,Liver,Lung,Muscle,Blood,Brain
Liver,1.0,0.0,0.0,0.0,0.0
Lung,0.0,1.0,0.0,0.010101010101010102,0.010101010101010102
Muscle,0.0,0.0,1.0,0.0,0.0
Blood,0.0,0.010101010101010102,0.0,1.0,0.0
Brain,0.0,0.010101010101010102,0.0,0.0,1.0
