tissue,n_samples,n_stage_labels,silhouette_stage,n_bp_labels,silhouette_bioproject
Muscle,761,5,0.06033844265711088,56,0.1055132098895907
Brain,43,4,0.433098552922596,6,0.6929445616084365
Liver,309,5,0.054199475226924615,34,0.33703412278560735
Lung,129,4,0.13706923023987594,20,0.3574822306390593
Blood,78,5,0.25823919554592223,7,0.5077619101114188
