tissue,rank,ensembl,gene,importance,function,annotation_source,Infant_TPM,Early_childhood_TPM,Pre-pubertal_TPM,Post-pubertal_TPM,Adult_TPM,peak_stage,fold_change_peak_vs_trough
Liver,17,ENSSSCG00000032433,PTCHD1,18.66439946492513,"Required for the development and function of the thalamic reticular nucleus (TRN), a part of the thalamus that is critical for thalamocortical transmission, generation of sleep rhythms, sensorimotor processing and attention. Can bind cholesterol in vitro.",uniprot_ensembl,0.03658023201069144,0.07295744466296336,0.2169227564965255,0.47790655998923187,0.2097764141219718,Post-pubertal,0.44132632797854043
Liver,18,ENSSSCG00000028623,RARRES1,16.885465358694393,Retinoic acid receptor responder 1.,uniprot_ensembl,4.120067414819641,4.942256179607084,5.675979213848403,6.232037125028162,5.216153852420888,Post-pubertal,2.1119697102085215
Liver,19,ENSSSCG00000005609,GARNL3,16.731986474245787,GTPase-activating Rap/Ran-GAP domain-like protein 3.,uniprot_ensembl,2.1050803716200743,2.580473024020888,3.02880953724253,4.540628485995636,3.409893885403239,Post-pubertal,2.4355481143755613
Liver,20,ENSSSCG00000012153,RAI2,16.412054826815922,Retinoic acid induced 2.,uniprot_ensembl,1.1577830196889953,2.35571904800155,1.8241287612408055,2.335048642509904,1.6994330702310583,Early childhood,1.1979360283125546
Lung,1,ENSSSCG00000031648,CCN5,218.88650131225586,May play an important role in modulating bone turnover. Promotes the adhesion of osteoblast cells and inhibits the binding of fibrinogen to integrin receptors.,uniprot_ensembl,0.6434983969470232,1.6591906612057128,0.7718922211813941,3.3521570616947876,,Post-pubertal,2.708658664747764
Lung,2,ENSSSCG00000012787,L1CAM,186.71100234985352,"Neural cell adhesion molecule involved in the dynamics of cell adhesion and in the generation of transmembrane signals at tyrosine kinase receptors. During brain development, critical in multiple processes, including neuronal migration, axonal growth and fasciculation, and.",uniprot_ensembl,0.8753076507550812,1.277561168986733,0.7351653593860888,2.4714696937802736,,Post-pubertal,1.7363043343941849
Lung,3,ENSSSCG00000032810,GZMM,113.49469947814941,"Cleaves peptide substrates after methionine, leucine, and norleucine. Physiological substrates include EZR, alpha-tubulins and the apoptosis inhibitor BIRC5/Survivin.",uniprot_ensembl,1.1513349784685354,3.093495467686597,1.9757656080478518,3.592028178209387,,Post-pubertal,2.4406931997408514
Lung,4,ENSSSCG00000033733,HMGN1,68.3822021484375,High mobility group nucleosome binding domain 1.,uniprot_ensembl,7.247272055714681,7.211676216203001,7.088073575584212,6.268176853175798,,Infant,0.9790952025388826
Lung,5,ENSSSCG00000011795,IGF2BP2,56.93659973144531,RNA-binding factor that recruits target transcripts to cytoplasmic protein-RNA complexes (mRNPs). This transcript 'caging' into mRNPs allows mRNA transport and transient storage.,uniprot_ensembl,3.912887311591496,3.330629517172658,3.201061478949133,2.3461164216613826,,Infant,1.5667708899301136
Lung,6,ENSSSCG00000024800,DSC2,34.62459945678711,Desmocollin 2.,uniprot_ensembl,4.363810522518417,4.173834563216959,4.129422039861301,3.149084862418625,,Infant,1.2147256600997918
Lung,7,ENSSSCG00000037885,LOC102158691,28.094999313354492,Immunoglobulin V-set domain-containing protein.,uniprot_ensembl,0.5914314403603104,3.521569430937718,2.2890859196837825,4.633427354061194,,Post-pubertal,4.041995913700884
Lung,8,ENSSSCG00000015297,ADAM22,17.375099182128906,ADAM metallopeptidase domain 22.,uniprot_ensembl,0.9975072285522241,0.5342313204876106,0.662727461271755,1.149311511492517,,Post-pubertal,0.6150801910049064
Lung,9,ENSSSCG00000012667,IGSF1,0.0,Immunoglobulin superfamily member 1.,uniprot_ensembl,0.9104293242758066,0.49007232599878914,0.11115242705535038,0.46767520540223406,,Infant,0.7992768972204563
Lung,10,ENSSSCG00000012668,ENSSSCG00000012668,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.0,0.0,0.0,0.01554219268602511,,Post-pubertal,0.01554219268602511
Lung,11,ENSSSCG00000041871,ENSSSCG00000041871,0.0,ENSSSCG00000041871,none,0.0010283400233869779,0.009800915067727005,0.0,0.01196278868157339,,Post-pubertal,0.01196278868157339
Lung,12,ENSSSCG00000048769,LOC100125545,0.0,LOC100125545,none,3.5694807238848636,3.919935282690268,3.5584307695770874,3.5866024148096107,,Early childhood,0.36150451311318044
Lung,13,ENSSSCG00000012666,LOC110257692,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.062088597858299975,0.006158755755461643,0.02005828293402909,0.030632442479138627,,Infant,0.05592984210283833
Lung,14,ENSSSCG00000012669,ARHGAP36,0.0,GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state.,uniprot_ensembl,0.4879097227203744,0.3367994871398086,0.30828791974550146,0.35484740255326797,,Infant,0.17962180297487296
Lung,15,ENSSSCG00000012665,LOC100511059,0.0,Putative odorant or sperm cell receptor.,uniprot_ensembl,0.0,0.030252809302965807,0.008384055022371517,0.016816897940179112,,Early childhood,0.030252809302965807
