tissue,ortholog,filter,n,pearson_r,pearson_p,spearman_r,spearman_p,dc
Adipose Tissue,relaxed_symbol,strict_bidirectional,26,0.3427421396044128,0.08651830757176487,0.2321367521367521,0.25381621379492764,84.61538461538461
Adipose Tissue,relaxed_symbol,pig_anchored,541,0.13346425514686813,0.0018642461490993019,0.14558548358126833,0.0006825047704283159,61.55268022181146
Adipose Tissue,relaxed_symbol,pig_fdr_only,2598,0.08265741523639329,2.4616363602908696e-05,0.0656475757023046,0.0008136864337648124,59.31485758275597
Adipose Tissue,relaxed_symbol,fc_only,598,0.13148184531063886,0.0012706164824405855,0.1415341597631431,0.00051788791873902,60.20066889632107
Adipose Tissue,relaxed_symbol,no_filter,5741,0.07392297041953455,2.0520882963960893e-08,0.06491156392479984,8.547611498132167e-07,54.72914126458805
Spleen,strict_1to1,strict_bidirectional,0,,,,,
Spleen,strict_1to1,pig_anchored,256,0.2482653269388274,5.9230126619146456e-05,0.30024962806134126,9.887439899322487e-07,44.140625
Spleen,strict_1to1,pig_fdr_only,884,0.14846640140458467,9.31187242771898e-06,0.1052417796701367,0.0017282869867259493,43.55203619909502
Spleen,strict_1to1,fc_only,505,0.22967445348575904,1.8045479313487989e-07,0.21693305976560393,8.58344547730718e-07,45.34653465346535
Spleen,strict_1to1,no_filter,3360,0.11829992159080047,6.030359964764005e-12,0.06436255207748554,0.00018899411785547432,45.38690476190476
Spleen,relaxed_symbol,strict_bidirectional,0,,,,,
Spleen,relaxed_symbol,pig_anchored,524,0.27134510189597605,2.6945213604327326e-10,0.2560953812727928,2.7183352461848897e-09,43.51145038167939
Spleen,relaxed_symbol,pig_fdr_only,1718,0.17089458909048694,9.983786654564474e-13,0.0904953350740601,0.00017272091973663008,43.83003492433062
Spleen,relaxed_symbol,fc_only,1057,0.2286537565989058,5.2721693999718086e-14,0.18493227703329856,1.3813179300020225e-09,45.411542100283825
Spleen,relaxed_symbol,no_filter,6979,0.11459970640936562,7.716623973257874e-22,0.0502194948143293,2.7017084998892157e-05,45.37899412523284
Heart,strict_1to1,strict_bidirectional,0,,,,,
Heart,strict_1to1,pig_anchored,212,0.03307727894335716,0.6320125455293705,-0.02016138681323387,0.7704026014063283,24.528301886792452
Heart,strict_1to1,pig_fdr_only,351,-0.04581317522501556,0.392165256404385,-0.1199003774003774,0.024676496142326646,28.49002849002849
Heart,strict_1to1,fc_only,413,0.019682451939473912,0.6900251023710215,-0.06780683096943266,0.16900606957965889,27.84503631961259
Heart,strict_1to1,no_filter,1799,-0.04894509392512074,0.037913491107139395,-0.10214698645047111,1.4191796398397433e-05,35.46414674819344
Heart,relaxed_symbol,strict_bidirectional,0,,,,,
Heart,relaxed_symbol,pig_anchored,437,-0.047266947789990604,0.3242238866134162,-0.08261367090675309,0.08452666323362407,22.19679633867277
Heart,relaxed_symbol,pig_fdr_only,725,-0.11784892145280824,0.0014789255129402936,-0.15511866093344814,2.729830347619498e-05,26.896551724137932
Heart,relaxed_symbol,fc_only,856,-0.034013503538529936,0.32023126048015943,-0.09166177365572298,0.007285061883598223,26.635514018691588
Heart,relaxed_symbol,no_filter,3766,-0.0716420291625723,1.0789946136815429e-05,-0.1135196648135996,2.8137143903358827e-12,36.69676048858205
