tissue,dimension,n_levels_used,usable_levels,observed_std_ba,perm_null_mean_std,perm_null_q95_std,pvalue,n_permutations
Muscle,Breed,6,Landrace;Unknown;Large white;Duroc;Tongcheng;Yorkshire,0.13119732754528385,0.07747783972760729,0.13155213525066148,0.053946053946053944,1000
Muscle,Sex,4,Male;Female;Unknown;Pooled,0.0960609328276516,0.03527861261414112,0.062223256688335345,0.004995004995004995,1000
Muscle,BioProject,4,PRJNA488311;PRJNA486202;PRJEB28465;PRJNA341938,0.17708378721800946,0.05921376099079053,0.09428506266725241,0.014985014985014986,1000
Brain,Sex,2,Female;Male,0.011538461538461497,0.05491282051282052,0.11346153846153845,1.0,1000
Liver,Breed,4,Unknown;Landrace;Duroc x (Landrace x Yorkshire);Large white,0.15208351081769522,0.06553324161687049,0.1318160622028622,0.007992007992007992,1000
Liver,Sex,3,Male;Female;Unknown,0.0387562724478634,0.027862862449056773,0.05521467572544049,0.23176823176823177,1000
Lung,Sex,3,Male;Unknown;Female,0.05145849988261777,0.05198415543692353,0.09242437583490366,0.47952047952047955,1000
